,carat,cut,color,clarity,depth,table,x,y,z,price
3046,0.3,Ideal,H,VVS1,62.3,57,4.27,4.3,2.67,665
3047,1.09,Ideal,F,SI1,62,56,6.61,6.59,4.09,5922
3048,0.4,Premium,F,VS2,61,58,4.72,4.79,2.9,842
3049,0.54,Premium,F,VS2,59.4,57,5.35,5.29,3.16,1786
3050,0.9,Very Good,F,SI1,61.6,56,6.14,6.2,3.8,3724
3051,1.01,Fair,F,VS2,65.2,52,6.31,6.29,4.11,5090
3052,0.36,Very Good,E,SI1,61.3,56,4.58,4.62,2.82,631
3053,1.14,Ideal,G,VS1,60.9,57,6.7,6.82,4.12,7750
3054,0.9,Ideal,J,VS1,62.6,54,6.15,6.18,3.86,3656
3055,0.32,Ideal,F,VS1,61.9,57,4.38,4.41,2.72,716
3056,1.37,Very Good,I,SI2,63,57,6.98,7.05,4.42,5584
3057,0.3,Ideal,F,SI1,61.9,57,4.28,4.31,2.66,609
3058,1.01,Very Good,E,VS1,59.4,59,6.52,6.54,3.88,8348
3059,0.74,Premium,E,VS1,62.8,59,5.76,5.68,3.59,3357
3060,0.43,Ideal,F,VVS1,62.3,55,4.85,4.88,3.03,1358
3061,1.06,Very Good,I,SI2,62.8,56,6.47,6.55,4.09,4132
3062,1.27,Ideal,G,VS2,62,58,6.89,6.95,4.29,8915
3063,0.24,Ideal,F,VVS2,61.8,56,3.97,4.02,2.47,552
3064,1.11,Very Good,J,VS2,61.8,56,6.59,6.64,4.09,4283
3065,0.51,Premium,I,SI1,62.7,59,5.06,5.09,3.18,984
3066,0.4,Ideal,H,VVS2,62.1,57,4.74,4.69,2.93,1125
3067,1.01,Very Good,E,VVS1,63.2,54,6.41,6.31,4.02,10498
3068,1.03,Ideal,F,VVS1,61.3,54,6.56,6.62,4.04,9881
3069,0.53,Ideal,I,SI2,61.8,54,5.22,5.24,3.23,947
3070,0.7,Very Good,E,VS2,58.9,60,5.83,5.85,3.44,2845
3071,0.34,Ideal,F,VVS2,61.8,56,4.47,4.49,2.77,712
3072,0.3,Ideal,E,VS2,61.5,56,4.33,4.29,2.65,844
3073,0.52,Good,E,VS2,64.3,56,5.02,5.14,3.27,1625
3074,2.02,Very Good,H,VS2,61.5,59,8.08,8.21,5.01,17887
3075,0.33,Premium,E,VVS1,60.1,58,4.51,4.47,2.7,1052
3076,0.51,Very Good,G,VS1,63.4,57,5.08,5.04,3.21,1709
3077,1.24,Premium,G,SI2,60,60,6.94,6.88,4.15,3896
3078,0.79,Ideal,H,VS2,62,56,5.91,5.93,3.67,2967
3079,0.33,Premium,G,VVS1,62.8,59,4.44,4.38,2.77,1114
3080,1.39,Ideal,E,VS2,60.8,57,7.24,7.21,4.39,11726
3081,0.32,Ideal,D,VS2,61.9,55,4.44,4.41,2.74,972
3082,1.01,Very Good,G,VS2,60.2,58,6.51,6.54,3.93,6213
3083,2.33,Very Good,J,VS2,61.8,59,8.41,8.56,5.24,14801
3084,0.3,Very Good,H,VVS1,62.6,60,4.21,4.26,2.65,684
3085,1.21,Ideal,I,VS1,61.7,53,6.89,6.92,4.26,7111
3086,0.53,Ideal,F,SI1,62.6,55,5.17,5.22,3.25,1359
3087,1.51,Very Good,G,VS2,62.8,57,7.25,7.3,4.57,11923
3088,0.57,Premium,H,SI1,59.3,58,5.46,5.4,3.22,1309
3089,0.34,Premium,G,VS2,61.6,58,4.45,4.51,2.76,596
3090,0.36,Very Good,G,SI1,61.2,63,4.56,4.59,2.8,537
3091,1.51,Good,I,SI1,63.8,59,7.27,7.21,4.62,6266
3092,0.3,Very Good,D,VVS2,63.5,58,4.31,4.23,2.71,1010
3093,1.11,Premium,G,VS2,61.5,58,6.69,6.62,4.09,7055
3094,2.02,Very Good,J,SI1,63,56,7.95,8.01,5.03,12267
3095,0.72,Ideal,J,VS2,61.4,57,5.76,5.8,3.55,2099
3096,0.3,Very Good,G,SI1,59.5,63,4.29,4.32,2.56,447
3097,0.31,Ideal,E,VS1,61.3,55,4.36,4.38,2.68,692
3098,1.12,Very Good,G,I1,61.2,63,6.68,6.59,4.05,3017
3099,0.3,Ideal,D,VVS1,61.6,56,4.33,4.37,2.68,912
3100,1.71,Very Good,F,VS2,58.5,61,7.88,7.79,4.58,17052
3101,1,Fair,H,SI1,67.6,59,6.03,5.95,4.05,4665
3102,0.3,Premium,H,SI1,61.2,62,4.31,4.28,2.63,540
3103,0.32,Good,D,I1,64,54,4.36,4.33,2.78,468
3104,0.41,Ideal,J,VS1,62.2,54.5,4.75,4.76,2.96,674
3105,1.01,Premium,D,SI1,62,60,6.37,6.4,3.96,6066
3106,0.71,Very Good,I,VVS1,63,58,5.68,5.72,3.59,2456
3107,0.5,Ideal,I,VVS2,61.8,57,5.09,5.11,3.15,1322
3108,1.22,Very Good,J,VS2,61.9,57,6.82,6.87,4.24,4793
3109,0.91,Very Good,D,SI1,,58,6.16,6.19,3.88,5033
3110,0.33,Ideal,G,SI2,60.2,57,4.5,4.47,2.7,594
3111,0.9,Premium,F,SI1,62.8,59,6.16,6.13,3.86,3992
3112,1.32,Very Good,H,SI1,62.3,58,6.96,7,4.35,7389
3113,0.53,Ideal,J,SI1,61.6,55,5.2,5.23,3.21,999
3114,1.52,Premium,G,VVS2,62.9,59,7.29,7.25,4.57,15404
3115,0.4,Ideal,E,VVS2,61.5,56,4.79,4.74,2.93,1238
3116,1.22,Ideal,E,SI1,61.7,56,6.88,6.92,4.26,7085
3117,0.32,Ideal,H,VS1,61.9,55,4.4,4.42,2.73,561
3118,0.3,Ideal,F,VS1,61.4,56,4.37,4.33,2.67,844
3119,0.4,Premium,E,VS1,61.2,59,4.76,4.72,2.9,1125
3120,0.58,Premium,H,SI2,59,61,5.45,5.42,3.21,1066
3121,2.01,Very Good,H,SI1,62.6,59,7.95,7.98,4.99,16901
3122,0.31,Premium,E,VS1,61.9,58,4.32,4.31,2.67,942
3123,0.9,Very Good,E,SI2,61.6,59,6.18,6.26,3.83,3924
3124,0.38,Ideal,F,IF,62.2,55,4.66,4.64,2.89,1397
3125,0.54,Premium,G,VS2,61,60,5.24,5.18,3.18,1637
3126,0.35,Premium,F,VS2,61.5,59,4.53,4.55,2.79,706
3127,0.4,Premium,E,VS1,62.5,58,4.69,4.72,2.94,1053
3128,0.3,Ideal,D,SI2,60.2,56,4.37,4.4,2.64,447
3129,0.31,Premium,H,VS1,61.5,61,4.34,4.31,2.66,698
3130,1.17,Ideal,J,SI1,,55,6.74,6.77,4.21,4883
3131,0.43,Ideal,E,SI2,61.9,57,4.83,4.86,3,716
3132,1.45,Ideal,J,VS2,61.9,59,7.16,7.21,4.45,7477
3133,0.41,Premium,G,VVS2,61.6,58,4.74,4.8,2.94,1007
3134,0.3,Ideal,F,SI1,61.4,55,4.31,4.34,2.65,550
3135,2,Good,J,SI1,64.1,58,7.85,7.79,5.01,9193
3136,0.57,Ideal,G,VS1,62.1,56,5.31,5.34,3.3,1868
3137,1.01,Fair,J,VS2,59.6,62,6.54,6.49,3.88,3886
3138,0.4,Premium,F,VS1,62.4,59,4.69,4.67,2.92,1050
3139,1.11,Very Good,H,SI2,61.5,59,6.56,6.61,4.05,4029
3140,0.37,Premium,F,VS2,61.2,60,4.63,4.59,2.82,957
3141,0.71,Ideal,G,VS1,62.6,57,5.67,5.7,3.56,2930
3142,0.6,Ideal,F,VVS2,60.8,57,5.44,5.49,3.32,2856
3143,0.42,Very Good,F,SI1,62.9,57,4.73,4.77,2.99,773
3144,0.32,Ideal,H,VS2,61.2,56,4.42,4.44,2.71,523
3145,1.22,Premium,F,VS2,,58,6.89,6.86,4.26,8733
3146,1.28,Premium,E,VS1,60.8,60,7.03,6.98,4.26,12100
3147,1.09,Very Good,I,SI1,61.4,58,6.61,6.69,4.08,4640
3148,0.32,Ideal,D,SI1,61.4,57,4.41,4.42,2.71,589
3149,0.32,Ideal,F,VS2,62.3,56,4.37,4.4,2.73,645
3150,1.59,Premium,J,VS2,62.6,59,7.45,7.43,4.66,7953
3151,0.32,Ideal,G,SI1,61.3,56,4.39,4.42,2.7,477
3152,0.41,Ideal,D,VS1,61.2,57,4.77,4.81,2.93,1018
3153,0.51,Ideal,F,VS2,62.6,55,5.15,5.1,3.21,1875
3154,0.31,Ideal,G,VS2,62.4,55,4.3,4.32,2.69,544
3155,2.01,Premium,J,VS1,60.1,59,8.25,8.18,4.94,15185
3156,0.8,Very Good,F,SI2,61,57,6.01,6.03,3.67,2772
3157,0.52,Ideal,H,VS2,61.6,55,5.17,5.19,3.19,1374
3158,0.3,Good,E,VVS2,61.1,61,4.32,4.36,2.65,622
3159,1.25,Premium,J,VS2,62.2,59,6.86,6.88,4.27,5299
3160,0.51,Ideal,G,VS2,62,56,5.18,5.11,3.19,1443
3161,1.21,Very Good,G,VVS2,60.4,56,6.96,6.91,4.19,9878
3162,1,Very Good,D,VVS2,59.9,61,6.42,6.5,3.87,9740
3163,0.4,Ideal,E,VVS2,61.7,55,4.76,4.74,2.93,1238
3164,0.32,Ideal,D,VS2,61.5,56,4.41,4.44,2.72,758
3165,0.77,Premium,H,SI1,60.9,60,5.89,5.87,3.58,2457
3166,0.26,Ideal,E,VVS2,61.5,56,4.08,4.11,2.52,599
3167,0.42,Ideal,E,VS2,61.6,57,4.79,4.82,2.96,908
3168,0.34,Premium,F,VS1,60,59,4.59,4.55,2.74,905
3169,0.51,Ideal,D,VS1,61.7,54,5.12,5.15,3.17,1752
3170,1.04,Premium,F,VS1,59.4,60,6.58,6.56,3.9,7632
3171,1.21,Very Good,I,SI1,62.1,56,6.76,6.92,4.25,5324
3172,0.33,Very Good,E,SI1,60.6,60,4.41,4.44,2.68,579
3173,0.26,Ideal,F,VS1,60.9,57,4.13,4.11,2.51,580
3174,0.71,Premium,D,SI2,62.8,57,5.69,5.64,3.56,2368
3175,0.35,Ideal,G,IF,61.3,56,4.51,4.53,2.77,910
3176,0.7,Very Good,E,VS1,61.1,55,5.72,5.77,3.51,3061
3177,0.52,Very Good,E,SI1,62.7,57,5.1,5.14,3.21,1389
3178,1.56,Ideal,J,SI2,62.1,55,7.45,7.41,4.62,5766
3179,2.23,Premium,J,SI1,,59,8.36,8.33,5.21,14258
3180,0.26,Very Good,H,VVS1,62.5,58,4.08,4.11,2.56,468
3181,0.55,Good,H,SI1,,55,5.23,5.18,3.31,1263
3182,0.33,Ideal,D,VS2,62.1,55,4.46,4.43,2.76,1002
3183,0.3,Premium,E,SI1,59.8,60,4.31,4.35,2.59,526
3184,0.52,Premium,D,VS2,62.8,58,5.14,5.11,3.22,1842
3185,0.38,Ideal,J,VS2,62.1,54,4.65,4.69,2.9,532
3186,1.23,Ideal,J,SI1,62.2,57,6.89,6.81,4.26,5407
3187,0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,1581
3188,1.05,Fair,I,I1,61.8,66,6.48,6.37,3.97,2396
3189,1.51,Very Good,F,SI1,59.4,57,7.48,7.57,4.47,10838
3190,0.3,Premium,H,VS1,62.4,60,4.29,4.23,2.66,630
3191,1.01,Good,F,VS2,60.1,60,6.46,6.51,3.9,5902
3192,0.61,Very Good,H,VVS2,60.5,57,5.52,5.54,3.35,1970
3193,0.32,Ideal,I,VS2,61.5,56,4.41,4.4,2.71,576
3194,0.54,Good,E,VVS2,57.5,61,5.47,5.39,3.12,2391
3195,2.77,Premium,H,I1,62.6,62,8.93,8.83,5.56,10424
3196,1.54,Premium,G,SI2,61.6,58,7.45,7.3,4.57,7287
3197,0.32,Premium,E,VS2,61.3,59,4.39,4.35,2.68,900
3198,0.51,Premium,E,VS2,59.3,58,5.23,5.2,3.09,1662
3199,1.57,Premium,J,VS1,61.3,59,7.47,7.44,4.57,8752
3200,0.41,Premium,G,SI1,61.5,59,4.78,4.75,2.93,923
3201,0.41,Good,E,SI1,63.6,58,4.72,4.74,3.01,705
3202,0.5,Ideal,D,SI2,62.4,56,5.1,5.06,3.17,1332
3203,0.46,Ideal,E,VVS2,62.6,55,4.92,4.95,3.09,1657
3204,1.5,Premium,I,SI2,62.5,61,7.29,7.24,4.54,7526
3205,0.54,Ideal,H,VVS1,60.4,55,5.27,5.32,3.2,1846
3206,1.5,Fair,J,SI2,65.5,60,7.07,7.03,4.62,5268
3207,0.36,Ideal,D,SI1,62.7,57,4.59,4.54,2.86,851
3208,0.54,Ideal,E,SI1,61.5,57,5.25,5.22,3.22,1637
3209,0.7,Premium,F,SI1,59.5,57,5.81,5.79,3.45,2596
3210,0.41,Ideal,F,VS2,62.4,58,4.77,4.75,2.97,1085
3211,1.03,Ideal,D,SI1,61,57,6.48,6.53,3.97,5804
3212,2.09,Ideal,H,SI2,60.6,57,8.3,8.2,5,16703
3213,1.03,Ideal,F,SI1,,57,6.42,6.46,4.03,5366
3214,1.06,Premium,H,SI1,62.8,58,6.49,6.47,4.07,4872
3215,0.91,Very Good,G,SI1,63.1,63,6.16,6.11,3.87,3445
3216,0.63,Fair,H,SI2,64.7,61,5.33,5.27,3.43,1235
3217,0.62,Ideal,D,SI1,62.2,55,5.45,5.51,3.41,1959
3218,0.42,Premium,F,VS1,61.8,59,4.83,4.81,2.98,1103
3219,1.01,Premium,E,IF,62.6,58,6.44,6.37,4.01,11491
3220,0.59,Good,F,VS2,64.9,57,5.2,5.25,3.39,1643
3221,2,Fair,H,SI1,65.1,56,7.86,7.77,5.09,14430
3222,0.9,Good,F,VS2,63.3,57,6.04,6.09,3.84,4253
3223,0.31,Very Good,G,VVS2,62.3,59,4.29,4.32,2.68,617
3224,0.51,Ideal,E,SI2,58.3,62,5.2,5.19,3.04,1268
3225,0.33,Premium,G,VVS2,61,58,4.44,4.48,2.72,752
3226,0.77,Premium,F,SI2,61.6,58,5.9,5.88,3.63,2247
3227,0.3,Ideal,F,SI1,61.9,56,4.3,4.32,2.67,475
3228,0.5,Premium,D,SI2,62.2,58,5.14,5.08,3.18,1279
3229,0.9,Premium,D,VS2,63,62,6.13,6.06,3.84,4586
3230,0.38,Ideal,I,VVS2,63.4,53,4.61,4.63,2.93,809
3231,0.7,Premium,E,VS2,59.5,59,5.82,5.77,3.45,2862
3232,0.31,Ideal,G,VVS1,61.9,55,4.3,4.36,2.68,816
3233,1.11,Ideal,H,SI2,62.6,56,6.58,6.65,4.14,4719
3234,0.4,Very Good,G,VS2,61.9,59,4.67,4.7,2.9,772
3235,1.01,Premium,H,VS2,61.3,59,6.44,6.48,3.96,4959
3236,0.34,Very Good,D,SI2,60.7,61,4.45,4.51,2.72,507
3237,2,Ideal,I,VS1,62.3,56,8.08,8.03,5.02,12907
3238,0.47,Ideal,H,SI2,62.4,53,4.98,5.02,3.12,782
3239,0.54,Ideal,H,VS1,60.9,55,5.28,5.3,3.22,1762
3240,0.7,Very Good,E,SI2,62,59,5.61,5.68,3.5,2263
3241,0.67,Good,F,VVS2,63.8,61,5.46,5.54,3.52,2398
3242,1.01,Ideal,I,VS2,61.3,53,6.52,6.54,4,4887
3243,0.41,Ideal,D,SI1,62.7,56,4.73,4.78,2.98,791
3244,1.03,Good,F,VS2,63.9,59,6.35,6.38,4.07,6543
3245,0.5,Ideal,G,VVS2,61.4,57,5.13,5.1,3.14,1935
3246,1,Good,G,VVS2,61.6,60,6.34,6.38,3.92,7572
3247,1.17,Premium,H,SI1,62.5,57,6.79,6.75,4.23,5751
3248,0.45,Very Good,D,VS2,62.9,58.4,4.83,4.86,3.04,1311
3249,2.32,Ideal,G,SI2,61,58,8.5,8.54,5.2,18532
3250,0.3,Ideal,E,VS2,62,55,4.35,4.3,2.68,844
3251,0.57,Ideal,F,VVS2,62.1,56,5.31,5.35,3.31,2339
3252,0.56,Ideal,D,SI2,61.3,56,5.3,5.33,3.26,1243
3253,0.3,Ideal,E,VS2,62.8,56,4.32,4.28,2.7,844
3254,0.77,Good,F,SI1,64.2,52,5.81,5.77,3.72,2789
3255,0.78,Good,G,SI2,57.9,63,6.05,6,3.49,1720
3256,0.29,Very Good,H,VVS2,61.7,55,4.27,4.3,2.64,541
3257,0.31,Ideal,D,VS2,62.5,56,4.29,4.32,2.69,734
3258,1,Premium,E,VS2,62.8,60,6.36,6.32,3.98,6720
3259,0.3,Ideal,F,VVS1,61.9,56,4.29,4.33,2.67,802
3260,0.69,Ideal,G,SI1,62.4,56,5.66,5.69,3.55,2297
3261,0.41,Ideal,D,VVS1,62.3,57,4.77,4.73,2.96,1582
3262,0.7,Very Good,F,SI2,63.2,59,5.66,5.61,3.56,1792
3263,1.58,Premium,G,VS2,,58,7.68,7.64,4.46,11786
3264,1.1,Premium,G,VS2,60.2,58,6.71,6.75,4.05,6534
3265,0.74,Ideal,F,VVS2,61.7,57,5.79,5.84,3.59,4157
3266,0.77,Premium,H,VS1,61.3,60,5.9,5.88,3.61,2789
3267,0.3,Premium,H,SI1,,58,4.28,4.24,2.68,554
3268,1,Good,F,VS2,63.2,59,6.3,6.35,4,6183
3269,1.3,Premium,J,SI1,61.5,58,7.02,6.97,4.3,5176
3270,0.32,Ideal,H,VS2,62.1,56,4.37,4.42,2.73,505
3271,1.74,Very Good,D,SI1,61.9,58,7.74,7.79,4.81,16286
3272,1.7,Premium,D,SI1,61.9,59,7.64,7.61,4.72,15238
3273,0.34,Ideal,E,VS1,60.8,57,4.53,4.49,2.74,1033
3274,0.43,Ideal,I,VS1,61.8,55,4.88,4.9,3.02,1218
3275,0.3,Ideal,E,VVS1,61.6,56,4.3,4.34,2.66,838
3276,1.23,Premium,G,SI1,62.4,55,6.89,6.83,4.28,6750
3277,1.12,Ideal,G,SI2,62.2,55,6.68,6.64,4.14,4955
3278,1.02,Very Good,D,SI2,58.8,58,6.62,6.68,3.91,4964
3279,0.5,Good,H,VVS1,63.3,57,5.02,5.06,3.19,1596
3280,1,Good,F,VS2,61.1,61,6.38,6.45,3.92,6841
3281,0.9,Very Good,F,SI2,62.8,54,6.05,6.15,3.83,3217
3282,0.9,Ideal,F,SI1,60.7,57,6.21,6.25,3.78,4401
3283,0.34,Ideal,E,VVS1,62.2,56,4.44,4.46,2.77,1014
3284,0.31,Ideal,F,VVS1,61,57,4.38,4.39,2.67,884
3285,0.39,Very Good,G,SI2,62.7,54,4.64,4.71,2.93,581
3286,0.55,Premium,E,SI1,61,61,5.3,5.25,3.22,1668
3287,0.32,Ideal,D,VS2,62.6,55,4.39,4.37,2.74,972
3288,0.3,Very Good,E,SI2,61.7,61,4.28,4.31,2.65,421
3289,0.9,Ideal,H,SI1,62.5,56,6.14,6.18,3.85,4492
3290,1.51,Premium,D,SI2,63,62,7.28,7.23,4.57,9894
3291,0.4,Good,G,VVS2,61.4,64,4.65,4.7,2.87,974
3292,2.16,Very Good,H,SI2,62.3,60,8.19,8.31,5.14,14824
3293,0.4,Very Good,D,VS1,62.9,56,4.67,4.71,2.95,1123
3294,0.52,Ideal,E,VS2,59.5,57,5.27,5.25,3.13,1815
3295,1.02,Premium,G,SI1,60.8,58,6.5,6.46,3.94,4718
3296,1.5,Premium,I,VS2,62.5,59,7.3,7.26,4.55,9055
3297,0.24,Very Good,F,VS1,62.5,58,3.95,3.96,2.47,419
3298,0.6,Ideal,F,VS2,61.9,57,5.39,5.43,3.35,1970
3299,1.5,Very Good,H,SI1,62,63,7.24,7.19,4.47,7459
3300,0.3,Good,E,SI1,63.6,57,4.22,4.24,2.69,526
3301,0.41,Good,E,VVS1,64.1,55,4.71,4.68,3.01,1298
3302,0.33,Premium,I,VS1,59.5,60,4.54,4.5,2.69,668
3303,1.02,Very Good,H,SI1,61,59,6.48,6.53,3.97,5455
3304,0.38,Ideal,E,VS1,61.9,56,4.63,4.67,2.88,1000
3305,0.23,Very Good,G,VVS2,62.9,55,3.88,3.92,2.45,431
3306,1.31,Ideal,I,VS2,62.4,57,6.93,6.97,4.34,6338
3307,0.3,Good,G,VVS2,63.8,56,4.29,4.27,2.73,878
3308,1.7,Good,J,VS2,63.6,59,7.53,7.48,4.77,8134
3309,1.03,Premium,G,VVS2,60.4,59,6.58,6.56,3.97,7729
3310,0.46,Good,F,VS1,61.6,62.2,4.84,5,3.04,1168
3311,0.59,Ideal,E,VS2,62.1,55,5.4,5.42,3.36,1875
3312,0.61,Very Good,D,SI1,62.4,59,5.42,5.45,3.39,1622
3313,0.38,Ideal,G,SI1,62.1,54,4.67,4.64,2.9,969
3314,1,Premium,E,VS2,60,60,6.43,6.43,3.89,6720
3315,1.03,Ideal,G,SI1,61.6,57,6.53,6.46,4,4900
3316,0.78,Fair,H,VS2,54.7,67,6.25,6.15,3.4,2691
3317,0.35,Ideal,E,VVS1,61.7,54,4.56,4.58,2.82,1000
3318,0.31,Ideal,H,VVS1,61.6,55,4.38,4.35,2.69,907
3319,0.5,Very Good,F,VS2,62.6,54,5.1,5.13,3.2,1404
3320,0.9,Good,F,VS2,63.8,55,6.09,6.13,3.9,4309
3321,0.79,Premium,E,VS2,59.4,60,6.08,6.05,3.6,3230
3322,0.72,Good,H,VS2,61.8,61,5.68,5.75,3.53,2497
3323,0.7,Ideal,G,SI1,62.5,56,5.67,5.69,3.55,2478
3324,0.4,Good,F,VS2,62.2,61,4.71,4.74,2.94,784
3325,1.02,Premium,F,VS2,61.3,58,6.54,6.42,3.97,6597
3326,0.3,Good,G,VVS1,63.3,55,4.26,4.3,2.71,789
3327,0.44,Ideal,I,VVS2,61.1,57,4.91,4.95,3.01,957
3328,1.83,Very Good,E,SI2,62,57,7.81,7.89,4.87,12379
3329,2.22,Ideal,G,SI2,60.9,57,8.47,8.42,5.14,15584
3330,0.36,Premium,F,SI1,60.3,58,4.65,4.6,2.79,770
3331,1.7,Very Good,I,VS2,58.5,59,7.81,7.89,4.59,11190
3332,1.07,Premium,I,VS2,60.7,58,6.62,6.66,4.03,4491
3333,0.46,Ideal,I,VVS2,62.7,56,4.9,4.93,3.08,1040
3334,0.71,Good,H,VVS2,63,59,5.64,5.67,3.56,2517
3335,0.31,Good,F,SI1,63.5,56,4.3,4.33,2.74,516
3336,0.46,Ideal,E,SI1,62,54,4.97,4.99,3.09,905
3337,1.7,Premium,H,VS2,62.4,57,7.6,7.54,4.72,13298
3338,0.33,Premium,G,VS2,62.1,56,4.44,4.41,2.75,743
3339,0.41,Ideal,E,VVS2,60.9,56,4.75,4.81,2.91,1187
3340,0.5,Premium,E,VS2,62.6,58,5.07,5.12,3.19,1559
3341,1.52,Premium,D,SI2,59.1,58,7.48,7.45,4.41,9959
3342,0.32,Ideal,F,VVS1,61.8,56,4.45,4.42,2.74,990
3343,0.73,Very Good,D,VS1,62.2,56,5.72,5.75,3.57,3856
3344,0.3,Premium,D,SI1,62.3,58,4.28,4.32,2.68,552
3345,1.26,Ideal,G,SI1,61.9,56,6.92,6.98,4.3,7711
3346,0.31,Premium,H,VS1,59.9,59,4.38,4.4,2.63,544
3347,1.2,Ideal,F,VS1,62.1,58,6.78,6.84,4.23,10367
3348,1.01,Ideal,F,VS2,61.2,58,6.45,6.43,3.94,7409
3349,1.34,Very Good,H,SI1,61.6,59,7.04,7.09,4.35,7655
3350,1.22,Ideal,H,SI2,61.7,56,6.87,6.93,4.26,5502
3351,0.91,Ideal,J,VS2,62.1,56,6.18,6.22,3.85,3256
3352,1,Fair,G,VS1,63.1,68,6.32,6.17,3.94,4892
3353,0.38,Ideal,F,SI1,61.7,56,4.68,4.72,2.9,766
3354,1.35,Premium,H,VS1,62.3,58,7.1,7.05,4.41,8543
3355,2.06,Good,H,I1,64.3,58,8.03,7.99,5.15,6091
3356,0.73,Ideal,E,VS1,62.5,57,5.73,5.76,3.59,3235
3357,1.06,Very Good,I,SI2,61.4,56.5,6.55,6.58,4.03,4465
3358,0.54,Ideal,D,SI1,60.7,56,5.27,5.3,3.21,1662
3359,1.39,Premium,F,SI1,62.4,59,7.14,7.09,4.44,8925
3360,0.41,Good,G,VVS1,61,61,4.77,4.8,2.92,986
3361,1.52,Fair,H,SI1,64.6,55,7.24,7.19,4.66,7433
3362,0.31,Premium,D,VS1,59.6,58,4.41,4.38,2.62,877
3363,1.01,Ideal,E,SI2,61.6,58,6.45,6.5,3.99,4668
3364,1.03,Good,G,SI1,63.2,58,6.38,6.43,4.05,4679
3365,2,Premium,H,SI2,62.8,57,8.05,8.01,5.04,11975
3366,1.24,Very Good,G,SI2,63.3,57,6.85,6.79,4.32,4462
3367,0.6,Ideal,F,VVS2,62.3,56,5.37,5.41,3.36,2652
3368,0.36,Ideal,D,VVS2,62,54,4.57,4.63,2.85,1033
3369,1,Fair,F,SI2,65.7,61,6.13,6.11,4.02,3443
3370,1.24,Ideal,H,SI2,62,56,6.87,6.9,4.27,5797
3371,0.3,Premium,E,SI1,60,60,4.36,4.38,2.62,526
3372,1.5,Ideal,F,VS2,61.9,56.4,7.31,7.33,4.53,15444
3373,2.3,Ideal,J,SI1,62.3,57,8.41,8.34,5.22,12316
3374,1.01,Ideal,D,VS2,60.6,57,6.54,6.46,3.94,7602
3375,0.32,Ideal,I,VS1,62.4,54,4.39,4.36,2.73,648
3376,1.12,Ideal,F,VS2,62.6,56,6.59,6.63,4.14,8074
3377,0.53,Ideal,G,VVS1,61.2,55,5.19,5.23,3.19,2005
3378,1.03,Ideal,G,SI1,61.6,55,6.48,6.52,4,5518
3379,1.07,Premium,F,SI1,61.7,56,6.66,6.5,4.06,5813
3380,0.34,Ideal,H,IF,61.9,55,4.5,4.55,2.8,913
3381,0.53,Very Good,J,SI1,61.5,56,5.18,5.21,3.19,1044
3382,0.72,Ideal,F,SI2,62,57,5.68,5.64,3.51,1743
3383,0.37,Premium,G,VVS2,62.2,58,4.6,4.56,2.85,1010
3384,0.87,Premium,D,SI1,62.1,58,6.08,6.13,3.79,4189
3385,0.41,Ideal,E,VVS1,60.7,57,4.85,4.8,2.93,1431
3386,0.24,Very Good,F,VS1,63,59,3.93,3.97,2.49,419
3387,0.29,Premium,G,VS1,62.1,59,4.25,4.22,2.63,547
3388,0.4,Ideal,E,VVS1,61.5,56,4.78,4.75,2.93,1397
3389,1,Very Good,D,SI2,62.8,58,6.29,6.39,3.98,4595
3390,0.59,Very Good,E,SI1,62.9,58,5.31,5.34,3.35,1652
3391,2.65,Premium,G,SI2,62,61,8.82,8.75,5.45,16314
3392,0.32,Ideal,E,VS2,62,55,4.41,4.37,2.72,804
3393,1,Ideal,G,VS1,62.5,54,6.4,6.44,4.01,7648
3394,0.81,Good,I,VS2,63.8,58,5.89,5.84,3.74,2641
3395,0.4,Very Good,G,SI1,61.6,59,4.66,4.72,2.89,702
3396,0.83,Premium,F,SI2,61.4,59,6.08,6.04,3.72,2840
3397,1.36,Very Good,H,VS1,59.9,58,7.16,7.2,4.3,9178
3398,0.26,Premium,E,VVS1,62.9,58,4.08,4.06,2.56,769
3399,0.3,Very Good,F,SI1,57.9,61,4.39,4.49,2.57,489
3400,2.03,Very Good,I,SI2,62.8,59,8.04,8.08,5.06,13063
3401,1.58,Ideal,I,VVS1,61.9,55,7.47,7.51,4.64,11435
3402,0.7,Premium,E,VVS2,60.6,60,5.74,5.72,3.47,3377
3403,0.31,Ideal,G,SI1,62.2,55,4.36,4.35,2.71,593
3404,0.79,Ideal,H,VVS1,62,56,5.92,5.96,3.68,3675
3405,0.7,Fair,F,I1,66.2,59,5.59,5.4,3.65,1087
3406,1.51,Premium,I,SI1,58.6,62,7.51,7.45,4.38,8574
3407,1.08,Good,G,VS2,58.9,58,6.69,6.75,3.96,6708
3408,0.33,Ideal,E,VVS1,61.9,54,4.45,4.47,2.76,945
3409,0.74,Very Good,I,VS1,62.3,60,5.78,5.8,3.61,2491
3410,0.5,Ideal,H,SI2,62.9,57,5.04,5.01,3.16,958
3411,1.5,Very Good,J,VS2,60.5,63,7.32,7.27,4.41,7308
3412,0.5,Premium,D,SI2,58.5,60,5.21,5.19,3.04,1178
