Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
10-04-2015,1.07,536479.42,5804.31,427358.64,277.56,103038.91,97207.43,5831.48,0,conventional,00:00.0,Boston
27-09-2015,1.07,553307.04,5210.84,463079.81,289.49,84726.9,82123.56,2603.34,0,conventional,00:00.0,Boston
20-09-2015,1.15,498640.23,4376.74,398673.48,418.46,95171.55,91612.66,3558.89,0,conventional,00:00.0,Boston
13-09-2015,1.03,655682.95,5422.29,560792.23,353.77,89114.66,84843.55,4271.11,0,conventional,00:00.0,Boston
09-06-2015,1.11,577774.74,4237.44,477867.83,496.62,95172.85,94558.41,614.44,0,conventional,00:00.0,Boston
30-08-2015,1.13,526664.87,4177.03,438502.9,554.04,83430.9,83242.01,188.89,0,conventional,00:00.0,Boston
23-08-2015,1.07,589471.32,4744.11,488292.1,608.61,95826.5,95585.38,241.12,0,conventional,00:00.0,Boston
16-08-2015,1.15,565795.06,4460.85,464476.33,748.65,96109.23,95887.01,222.22,0,conventional,00:00.0,Boston
08-09-2015,1.07,690517.19,4173.23,590998.11,827.06,94518.79,94287.69,231.1,0,conventional,00:00.0,Boston
08-02-2015,1.17,571994.5,4442.2,468591.76,1451.95,97508.59,97214.15,294.44,0,conventional,00:00.0,Boston
26-07-2015,1.28,500233.69,4299.27,393281.62,1957.86,100694.94,100466.86,228.08,0,conventional,00:00.0,Boston
19-07-2015,1.18,597168.12,4720.08,477629.8,5071.77,109746.47,109519,227.47,0,conventional,00:00.0,Boston
07-12-2015,1.14,634515.74,5332.07,471639.53,9361.55,148182.59,146946.54,1236.05,0,conventional,00:00.0,Boston
07-05-2015,1.27,582909.73,4743.46,418251.03,11053.82,148861.42,145982.99,2878.43,0,conventional,00:00.0,Boston
28-06-2015,1.25,560494.92,4688.28,403230.6,9120.3,143455.74,142574.63,881.11,0,conventional,00:00.0,Boston
21-06-2015,1.24,543504.66,3582.45,404908.53,8899.2,126114.48,125821.15,293.33,0,conventional,00:00.0,Boston
14-06-2015,1.08,684346.48,5104.19,521254.77,6545.42,151442.1,151258.77,183.33,0,conventional,00:00.0,Boston
06-07-2015,1.25,562542.86,4034.11,421007.42,93.05,137408.28,137224.94,183.34,0,conventional,00:00.0,Boston
31-05-2015,1.26,565160.95,4128.35,418105.36,108.6,142818.64,142515.32,303.32,0,conventional,00:00.0,Boston
24-05-2015,1.14,633521.98,4601.66,490485.76,276.82,138157.74,137769.31,388.43,0,conventional,00:00.0,Boston
17-05-2015,1.26,534488.54,4285.68,380514.08,162.66,149526.12,147667.72,1858.4,0,conventional,00:00.0,Boston
05-10-2015,1.14,625558.14,4601.5,476827.52,131.47,143997.65,141309.43,2688.22,0,conventional,00:00.0,Boston
05-03-2015,1.17,552368.94,3828.64,429586.28,239.76,118714.26,115148.87,3565.39,0,conventional,00:00.0,Boston
26-04-2015,1.28,465911.37,3915.3,352464.49,131.46,109400.12,106866.42,2533.7,0,conventional,00:00.0,Boston
19-04-2015,1.15,504619.83,4013.71,384880.49,162.91,115562.72,114562.17,1000.55,0,conventional,00:00.0,Boston
04-12-2015,1.26,408485.16,3575.89,294164.23,106.09,110638.95,108644.33,1994.62,0,conventional,00:00.0,Boston
04-05-2015,1.27,449818.01,3657.54,330424.74,99.92,115635.81,113541.34,1948.64,145.83,conventional,00:00.0,Boston
29-03-2015,1.19,453631.25,3619.31,339299.3,151.36,110561.28,108838.11,1723.17,0,conventional,00:00.0,Boston
22-03-2015,1.18,453173.22,5956.18,344396.92,155.94,102664.18,102204.17,460.01,0,conventional,00:00.0,Boston
15-03-2015,1.25,417750.36,6085.75,308996.7,111.59,102556.32,101931.87,624.45,0,conventional,00:00.0,Boston
03-08-2015,1.17,408403.96,3425.53,290512.65,78.96,114386.82,113811.26,575.56,0,conventional,00:00.0,Boston
03-01-2015,1.11,485736.1,4106.42,383573.77,192.98,97862.93,97423.17,439.76,0,conventional,00:00.0,Boston
22-02-2015,1.23,355432.28,3232.68,251341.3,142.33,100715.97,100498.19,217.78,0,conventional,00:00.0,Boston
15-02-2015,1.2,399883.99,3794.97,281106.45,143.41,114839.16,114283.61,555.55,0,conventional,00:00.0,Boston
02-08-2015,1.04,609985.34,7653.19,495731.7,383.73,106216.72,105403.38,813.34,0,conventional,00:00.0,Boston
02-01-2015,1.22,490022.14,6082.88,373452.06,272.81,110214.39,109900.93,313.46,0,conventional,00:00.0,Boston
25-01-2015,1.17,409343.56,4730.77,288094.65,45.98,116472.16,115538.05,934.11,0,conventional,00:00.0,Boston
18-01-2015,1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0,conventional,00:00.0,Boston
01-11-2015,1.1,437771.89,5548.11,320577.36,121.81,111524.61,111192.88,331.73,0,conventional,00:00.0,Boston
01-04-2015,1.02,491738,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0,conventional,00:00.0,Boston
27-12-2015,1.35,96233.08,1367.81,39542.83,85.76,55236.68,55236.68,0,0,conventional,00:00.0,BuffaloRochester
20-12-2015,1.37,90867.51,1164.92,38430.71,106.67,51165.21,51165.21,0,0,conventional,00:00.0,BuffaloRochester
13-12-2015,1.35,98473.23,1421.12,40783.22,66.45,56202.44,56202.44,0,0,conventional,00:00.0,BuffaloRochester
12-06-2015,1.23,108457.82,1737.71,58197.34,167.12,48355.65,48355.65,0,0,conventional,00:00.0,BuffaloRochester
29-11-2015,1.39,79973.14,1514.69,35682.71,113.49,42662.25,42662.25,0,0,conventional,00:00.0,BuffaloRochester
22-11-2015,1.4,90242.31,1711.77,38780.66,107.53,49642.35,49642.35,0,0,conventional,00:00.0,BuffaloRochester
15-11-2015,1.36,99703.72,1803.78,41457.12,107.48,56335.34,55593.12,742.22,0,conventional,00:00.0,BuffaloRochester
11-08-2015,1.3,111038.95,1288.83,49507.25,55,60187.87,58885.65,1302.22,0,conventional,00:00.0,BuffaloRochester
11-01-2015,1.23,118541.11,2181.17,61874.92,186.4,54298.62,52956.4,1342.22,0,conventional,00:00.0,BuffaloRochester
25-10-2015,1.36,99554.55,1545.57,36645.91,79.64,61283.43,59381.21,1902.22,0,conventional,00:00.0,BuffaloRochester
18-10-2015,1.29,106083.75,1536.35,40701.65,58.28,63787.47,62627.47,1160,0,conventional,00:00.0,BuffaloRochester
10-11-2015,1.3,109153.84,2170.49,50862,96.18,56025.17,54829.61,1195.56,0,conventional,00:00.0,BuffaloRochester
10-04-2015,1.33,98900.48,3020.03,38353.35,101.43,57425.67,56141.23,1284.44,0,conventional,00:00.0,BuffaloRochester
27-09-2015,1.31,90745.72,1908.16,60292.79,106.47,28438.3,27767.19,671.11,0,conventional,00:00.0,BuffaloRochester
20-09-2015,1.54,60624.47,1445.25,39831.66,88.61,19258.95,18437.84,821.11,0,conventional,00:00.0,BuffaloRochester
13-09-2015,1.59,73043.2,1572.71,48468.73,134.33,22867.43,22421.87,445.56,0,conventional,00:00.0,BuffaloRochester
09-06-2015,1.56,76139.58,1471.69,49388.48,173.32,25106.09,25092.76,13.33,0,conventional,00:00.0,BuffaloRochester
30-08-2015,1.38,83731.42,1406.11,61600.62,241.67,20483.02,20483.02,0,0,conventional,00:00.0,BuffaloRochester
23-08-2015,1.49,68953.29,1287.09,43655.31,170.47,23840.42,23840.42,0,0,conventional,00:00.0,BuffaloRochester
16-08-2015,1.5,69798.09,1230.78,45937.58,258,22371.73,22371.73,0,0,conventional,00:00.0,BuffaloRochester
08-09-2015,1.47,81830.13,1139.74,56289.28,349.19,24051.92,24051.92,0,0,conventional,00:00.0,BuffaloRochester
08-02-2015,1.47,78162.92,1447.81,44620.7,471.55,31622.86,31622.86,0,0,conventional,00:00.0,BuffaloRochester
26-07-2015,1.39,91825.07,1679.28,45615.48,741.77,43788.54,43788.54,0,0,conventional,00:00.0,BuffaloRochester
19-07-2015,1.36,128846.15,1165.75,54492.85,2205.14,70982.41,70982.41,0,0,conventional,00:00.0,BuffaloRochester
07-12-2015,1.45,127351.46,1119.38,47294.67,4714.73,74222.68,73796.01,426.67,0,conventional,00:00.0,BuffaloRochester
07-05-2015,1.47,140413.9,1503.1,56925.46,6707.85,75277.49,74370.82,906.67,0,conventional,00:00.0,BuffaloRochester
28-06-2015,1.36,137246.7,1235.69,51801.73,5397.32,78811.96,78749.74,62.22,0,conventional,00:00.0,BuffaloRochester
21-06-2015,1.5,108655.36,1254.83,47845.57,5424.52,54130.44,54130.44,0,0,conventional,00:00.0,BuffaloRochester
14-06-2015,1.34,149376.79,1183.9,48286.51,4432.54,95473.84,95473.84,0,0,conventional,00:00.0,BuffaloRochester
06-07-2015,1.38,130908.11,779.02,57999.61,138.81,71990.67,71990.67,0,0,conventional,00:00.0,BuffaloRochester
31-05-2015,1.4,130841.08,1039.49,54249.06,79.38,75473.15,75473.15,0,0,conventional,00:00.0,BuffaloRochester
24-05-2015,1.43,121942.61,1033.76,55018.95,103.94,65785.96,65741.52,44.44,0,conventional,00:00.0,BuffaloRochester
17-05-2015,1.35,137050.23,932.52,61668.49,56.53,74392.69,73414.91,977.78,0,conventional,00:00.0,BuffaloRochester
05-10-2015,1.33,170547.18,1321.83,73754.3,185.16,95285.89,94832.56,453.33,0,conventional,00:00.0,BuffaloRochester
05-03-2015,1.42,136771.79,946.38,50266.22,81.86,85477.33,84332.05,1102.22,43.06,conventional,00:00.0,BuffaloRochester
26-04-2015,1.41,136964.3,1117.56,49556.91,106.4,86183.43,85503.15,640,40.28,conventional,00:00.0,BuffaloRochester
19-04-2015,1.42,139612.52,1021.72,52954.82,59.18,85576.8,85056.94,519.86,0,conventional,00:00.0,BuffaloRochester
04-12-2015,1.42,118172.53,884.02,45443.61,92.75,71752.15,70938.4,813.75,0,conventional,00:00.0,BuffaloRochester
04-05-2015,1.44,124145.62,969.27,51023.86,95.69,72056.8,71408.88,597.92,50,conventional,00:00.0,BuffaloRochester
29-03-2015,1.39,119890.65,1352.63,48430.03,80.52,70027.47,69919,108.47,0,conventional,00:00.0,BuffaloRochester
22-03-2015,1.4,119902.96,3090.55,45420.06,48.2,71344.15,71288.59,55.56,0,conventional,00:00.0,BuffaloRochester
15-03-2015,1.47,103413.11,3500.48,45688.61,66.42,54157.6,54046.49,111.11,0,conventional,00:00.0,BuffaloRochester
03-08-2015,1.35,125724.96,1072.46,61973.56,102.31,62576.63,62216.63,360,0,conventional,00:00.0,BuffaloRochester
03-01-2015,1.43,112363.86,1032.92,41685.04,104.16,69541.74,69479.52,62.22,0,conventional,00:00.0,BuffaloRochester
22-02-2015,1.41,109546.92,1709.23,45393.96,131.72,62312.01,61765.34,546.67,0,conventional,00:00.0,BuffaloRochester
15-02-2015,1.44,100207.14,1520.76,43271.55,57.76,55357.07,55232.63,124.44,0,conventional,00:00.0,BuffaloRochester
02-08-2015,1.36,132760.1,1822.41,66261.92,161.96,64513.81,63918.25,595.56,0,conventional,00:00.0,BuffaloRochester
02-01-2015,1.33,153920.35,2117.73,64770.55,112.49,86919.58,86848.47,71.11,0,conventional,00:00.0,BuffaloRochester
25-01-2015,1.5,114052.94,1321.19,54007.48,74.53,58649.74,57909.74,740,0,conventional,00:00.0,BuffaloRochester
18-01-2015,1.52,107040.29,1625.26,61859.85,133.29,43421.89,43419.67,2.22,0,conventional,00:00.0,BuffaloRochester
01-11-2015,1.54,106221.32,1642.25,50985.2,79.61,53514.26,53514.26,0,0,conventional,00:00.0,BuffaloRochester
01-04-2015,1.4,116253.44,3267.97,55693.04,109.55,57182.88,57182.88,0,0,conventional,00:00.0,BuffaloRochester
